"aou","year","comp_med","comp_low","comp_upp","n_diverg","rhat_high"
"05460",2000,7.6733273666033,6.47241660001383,9.19414196489919,0,0
"05460",2001,6.52032625627367,5.45726491043301,7.98414177209083,0,0
"05460",2002,6.43273591380893,5.35755994090946,8.05563368431361,0,0
"05460",2003,7.13406363795159,5.98873521170444,8.82255012627677,0,0
"05460",2004,6.75959952482126,5.61546711652531,8.50994576850361,0,0
"05460",2005,6.585110962079,5.48495456157136,8.30320240281187,0,0
"05460",2006,6.89535683256013,5.63891628781687,8.68792053176699,0,0
"05460",2007,6.30134947244496,5.29894155155622,7.60848960089585,0,0
"05460",2008,5.71219449656091,4.8725884007455,6.91257452125658,0,0
"05460",2009,5.47152444201684,4.68856196696966,6.49598534655561,0,0
"05460",2010,6.049038482952,5.10557383286798,7.28752719755868,0,0
"05460",2011,5.45752899685284,4.58727130831819,6.60998801974543,0,0
"05460",2012,5.229096152296,4.26491784825775,7.09040054565198,0,0
"05460",2013,4.58101080666568,3.79026610745522,5.70011449464257,0,0
"05460",2014,4.67806860985882,3.94909634594047,5.77856334434121,0,0
"05780",1985,17.7920498846918,10.461146254804,34.3415161714091,0,0
"05780",1986,19.7298068947115,12.1822035994133,33.7619500232867,0,0
"05780",1987,27.8720567735118,17.5268612784563,49.1037001832587,0,0
"05780",1988,37.3195332138848,23.6150584942889,65.9497551661172,0,0
"05780",1989,34.5387504125077,22.1340083296212,58.3187290848866,0,0
"05780",1990,28.3414349441451,17.3602758496061,59.4267525377656,0,0
"05780",1991,29.8424932108362,18.3599828861357,53.3599267231016,0,0
"05780",1992,41.6191298321492,27.5998296074753,68.2752365981177,0,0
"05780",1993,41.2059354259396,27.160261023364,64.7209004525116,0,0
"05780",1994,25.6315189084113,17.6466372149405,40.5932327540922,0,0
"05780",1995,17.2456505895625,11.6084865027657,26.3214381957883,0,0
"05780",1996,17.5363199594547,12.0445646445356,26.8756110106335,0,0
"05780",1997,14.833824598704,9.88613664163597,23.3843278039274,0,0
"05780",1998,22.5568959991365,15.2869932117617,35.7012920299102,0,0
"05780",1999,19.7360575487955,12.7907306142716,32.6578051904462,0,0
"05780",2000,23.8782195170613,16.3546651818875,36.8906368719766,0,0
"05780",2001,18.5822124418688,12.3882875833385,29.7059846832009,0,0
"05780",2002,20.5756946698317,13.775567384616,32.3981775797154,0,0
"05780",2003,18.0872623923218,12.331619762084,28.1047237539428,0,0
"05780",2004,19.8864145764415,13.2681346547224,31.262568613611,0,0
"05780",2005,28.6214711172179,19.1301006535732,44.5058807705035,0,0
"05780",2006,28.2385152857928,19.2333749219735,44.4603295285301,0,0
"05780",2007,22.3163848214376,15.0080290510872,34.2837547311566,0,0
"05780",2008,22.8112684051235,15.7679632968568,36.0214182651904,0,0
"05780",2009,27.9993625177263,19.6866395336842,41.9859156768518,0,0
"05780",2010,22.0726869076118,15.0861203254498,34.1036366232739,0,0
"05780",2011,26.0226938451005,18.5481059827705,40.5217982070741,0,0
"05780",2012,10.7802090609245,7.49327745116183,16.5862879216444,0,0
"05780",2013,9.84136816658382,6.9918439429728,14.7392967086696,0,0
"05780",2014,17.2623787408619,11.881203003879,27.358282379117,0,0
"05840",1985,0.8296021109742,0.66511811160502,1.0706088312381,0,2
"05840",1986,0.88408784577552,0.696131021753238,1.15102141813011,0,2
"05840",1987,1.10648669385804,0.909330431152558,1.37913493578808,0,2
"05840",1988,1.01446675082701,0.808731869504518,1.33307801226179,0,2
"05840",1989,0.998412416194972,0.806744361633771,1.28408539831981,0,2
"05840",1990,0.942388045521416,0.767859407536785,1.18701867988312,0,2
"05840",1991,0.907043428887725,0.727517773848694,1.18162644314164,0,2
"05840",1992,1.06693856511204,0.863082970972333,1.3934217151885,0,2
"05840",1993,1.21508344895348,0.982787789496858,1.53619008077197,0,2
"05840",1994,1.03181354355963,0.852646493613848,1.29226943960482,0,2
"05840",1995,1.11932909012586,0.906733618168602,1.43896635444126,0,2
"05840",1996,1.07536025727606,0.880678886068296,1.36975369247965,0,2
"05840",1997,1.05741243433412,0.865742826660561,1.37500986064267,0,2
"05840",1998,1.51264764410002,1.15777353277984,2.2838961679182,0,2
"05840",1999,1.70928154373494,1.26759233604483,2.57718204849679,0,2
"05840",2000,1.44397606977846,1.02710724428403,2.38664196741168,0,2
"05840",2001,1.39565699940785,1.01392771570982,2.26548129294959,0,2
"05840",2002,1.18555990642446,0.855039741169445,2.25790797318132,0,2
"05840",2003,1.6716969921408,1.1937818483892,2.89036868392316,0,2
"05840",2004,1.20398593794771,0.968273804737491,1.64209754507992,0,2
"05840",2005,1.85368042763757,1.25599331805542,3.2803471984488,0,2
