"route_uniq","pct_crop","pct_past","have_cent"
"C840S14R341",0.033,0.019,TRUE
"C840S14R345",0.01,0,FALSE
"C840S14R352",72.115,9.127,TRUE
"C840S14R357",0.816,0.232,TRUE
"C840S14R366",0.004,0.017,TRUE
"C840S14R401",0,0.176,TRUE
"C840S14R402",0,0,TRUE
"C840S14R403",0,0.007,TRUE
"C840S14R404",0.015,0.001,TRUE
"C840S14R405",0.616,0.824,TRUE
"C840S14R406",0.123,0.017,TRUE
"C840S14R407",0,0.079,TRUE
"C840S14R408",1.006,2.273,TRUE
"C840S14R409",0,0.005,TRUE
"C840S14R410",0,0.007,TRUE
"C840S14R411",0,0.056,TRUE
"C840S14R412",1.541,1.317,TRUE
"C840S14R413",0,0,TRUE
"C840S14R414",0,0,TRUE
"C840S14R415",0.169,2.046,TRUE
"C840S14R416",0,0,TRUE
"C840S14R417",0.003,0.028,TRUE
"C840S14R418",0,0,TRUE
"C840S14R419",0,0,TRUE
"C840S14R420",0,0,TRUE
"C840S14R421",0.021,0,TRUE
"C840S14R422",0.005,0,TRUE
"C840S14R423",0,0.003,TRUE
"C840S14R424",0.001,0.014,TRUE
"C840S14R425",0,0.046,TRUE
"C840S14R426",0.003,0.163,TRUE
"C840S14R427",4.22,0.598,TRUE
"C840S14R428",0.124,0.338,TRUE
"C840S14R429",0,0,TRUE
"C840S14R430",1.322,0.628,TRUE
"C840S14R431",0.054,0,TRUE
"C840S14R432",0.114,0.231,TRUE
"C840S14R433",0.457,2.087,TRUE
"C840S14R434",0,0,TRUE
"C840S14R435",0.008,0.005,TRUE
"C840S14R436",0.504,0.655,TRUE
"C840S14R503",21.96,2.779,TRUE
"C840S14R518",0,0,FALSE
"C840S14R536",0.512,0.703,TRUE
"C840S14R900",1.368,1.758,TRUE
"C840S14R901",5.268,1.87,TRUE
"C840S14R902",0,0,TRUE
"C840S14R903",0,0,TRUE
"C840S14R905",0.008,0.005,TRUE
"C840S14R907",0,0,TRUE
"C840S14R908",0.072,0.805,TRUE
"C840S14R909",0.005,0.299,TRUE
"C840S14R918",0.059,0.557,FALSE
"C840S14R953",0,0,TRUE
"C840S17R001",0,2.25,TRUE
"C840S17R002",0.627,1.342,TRUE
"C840S17R003",0.002,8.63,TRUE
"C840S17R004",12.44,4.436,TRUE
"C840S17R005",24.304,1.68,TRUE
"C840S17R006",18.325,0.539,TRUE
"C840S17R007",63.304,2.668,TRUE
"C840S17R008",0.001,0.927,TRUE
"C840S17R009",0.263,11.629,TRUE
"C840S17R010",0.005,2.242,TRUE
"C840S17R011",0,0.15,TRUE
"C840S17R012",0.298,0.076,TRUE
"C840S17R013",45.832,3.283,TRUE
"C840S17R014",30.244,1.434,TRUE
"C840S17R015",2.123,2.809,TRUE
"C840S17R016",0.024,2.386,TRUE
"C840S17R017",0,3.747,TRUE
"C840S17R018",0.03,7.39,TRUE
"C840S17R019",3.069,0,TRUE
"C840S17R020",10.04,0.251,TRUE
"C840S17R021",48.363,0.203,TRUE
"C840S17R022",3.388,14.763,TRUE
"C840S17R023",0.62,20.471,TRUE
"C840S17R024",0.027,2.255,TRUE
"C840S17R025",2.631,5.421,TRUE
"C840S17R026",1.537,0.002,TRUE
"C840S17R027",2.598,0,TRUE
"C840S17R028",53.54,7.502,TRUE
"C840S17R031",0,1.55,TRUE
"C840S17R032",0.438,5.04,TRUE
"C840S17R033",0.006,12.443,TRUE
"C840S17R034",0,1.223,TRUE
"C840S17R035",54.692,7.026,TRUE
"C840S17R036",31.375,0.379,TRUE
"C840S17R037",52.068,0.947,TRUE
"C840S17R038",11.978,0.243,TRUE
"C840S17R039",0.009,0.389,TRUE
"C840S17R040",0.003,0.015,TRUE
"C840S17R041",0,0.233,TRUE
"C840S17R042",73.251,0.915,TRUE
"C840S17R043",65.586,0.205,TRUE
"C840S17R044",63.361,0.291,TRUE
"C840S17R045",0.001,0.77,TRUE
"C840S17R046",0,4.469,TRUE
"C840S17R047",0,4.21,TRUE
"C840S17R048",0,0.279,TRUE
"C840S17R049",2.522,0,TRUE
"C840S17R050",3.71,0,TRUE
"C840S17R051",48.443,0.053,TRUE
"C840S17R052",0,0.522,TRUE
"C840S17R053",0,0.015,TRUE
"C840S17R054",0.091,2.168,TRUE
"C840S17R055",0.361,23.248,TRUE
"C840S17R056",1.142,0.55,TRUE
"C840S17R057",0.186,0.013,TRUE
"C840S17R058",14.832,3.267,TRUE
"C840S17R122",3.252,14.962,TRUE
"C840S17R124",0.025,2.26,TRUE
"C840S17R125",2.627,5.44,TRUE
"C840S17R126",1.012,0.002,TRUE
"C840S17R138",8.694,0.36,TRUE
"C840S17R153",0,0.02,TRUE
"C840S17R154",0.04,0.935,TRUE
"C840S17R201",0.003,0.542,TRUE
"C840S17R202",0,2.683,TRUE
"C840S17R203",0,1.736,TRUE
"C840S17R204",0,0.366,TRUE
"C840S17R205",19.627,0.252,TRUE
"C840S17R206",11.914,0.502,TRUE
"C840S17R207",88.007,0.385,TRUE
"C840S17R208",0.468,3.338,TRUE
"C840S17R209",0.009,2.019,TRUE
"C840S17R210",0,0.363,TRUE
"C840S17R211",0,0.087,TRUE
"C840S17R212",72.97,1.137,TRUE
"C840S17R213",37.281,0.119,TRUE
"C840S17R214",61.474,1.072,TRUE
"C840S17R215",0.057,4.044,TRUE
"C840S17R216",0.236,13.647,TRUE
"C840S17R217",0,0.008,TRUE
"C840S17R218",0.033,0.235,TRUE
"C840S17R219",7.439,0.002,TRUE
"C840S17R220",9.789,0,TRUE
"C840S17R221",35.37,0.11,TRUE
"C840S17R222",0,0.931,TRUE
"C840S17R223",0.01,2.138,TRUE
"C840S17R224",0,0.079,TRUE
"C840S17R225",0.058,18.634,TRUE
"C840S17R226",0.008,0.861,TRUE
"C840S17R227",0.746,0.124,TRUE
"C840S17R228",32.782,5.764,TRUE
"C840S17R253",0,0.02,TRUE
"C840S17R301",0,0.192,TRUE
"C840S17R302",0.641,2.511,TRUE
"C840S17R303",0,2.237,TRUE
"C840S17R304",0,0.079,TRUE
"C840S17R305",28.566,0.87,TRUE
"C840S17R306",33.136,1.356,TRUE
"C840S17R307",43.358,0.239,TRUE
"C840S17R308",0.003,0.614,TRUE
