"route_uniq","quad_poly_id"
"C840S14R166",85
"C840S14R167",84
"C840S14R168",85
"C840S14R169",114
"C840S14R170",175
"C840S14R171",204
"C840S14R172",174
"C840S14R173",231
"C840S14R174",84
"C840S14R175",114
"C840S14R176",85
"C840S14R177",115
"C840S14R178",113
"C840S14R179",114
"C840S14R180",145
"C840S14R181",146
"C840S14R182",144
"C840S14R183",145
"C840S14R184",146
"C840S14R185",146
"C840S14R186",144
"C840S14R187",145
"C840S14R188",175
"C840S14R189",203
"C840S14R190",175
"C840S14R191",204
"C840S14R192",205
"C840S14R193",173
"C840S14R194",203
"C840S14R195",203
"C840S14R196",203
"C840S14R197",232
"C840S14R198",84
"C840S14R199",115
"C840S14R200",113
"C840S14R201",115
"C840S14R202",174
"C840S14R203",174
"C840S14R204",204
"C840S14R205",204
"C840S14R210",144
"C840S14R213",146
"C840S14R220",287
"C840S14R221",287
"C840S14R225",203
"C840S14R226",287
"C840S14R231",287
"C840S14R235",259
"C840S14R240",260
"C840S14R245",232
"C840S14R252",203
"C840S14R260",261
"C840S14R267",84
"C840S14R302",174
"C840S14R303",174
"C840S14R308",115
"C840S14R313",287
"C840S14R319",202
"C840S14R320",174
"C840S14R341",232
"C840S14R345",286
"C840S14R352",174
"C840S14R357",175
"C840S14R366",261
"C840S14R401",83
"C840S14R402",84
"C840S14R403",114
"C840S14R404",114
"C840S14R405",115
"C840S14R406",85
"C840S14R407",85
"C840S14R408",115
"C840S14R409",114
"C840S14R410",114
"C840S14R411",114
"C840S14R412",115
"C840S14R413",115
"C840S14R414",115
"C840S14R415",146
"C840S14R416",146
"C840S14R417",146
"C840S14R418",146
"C840S14R419",175
"C840S14R420",175
"C840S14R421",175
"C840S14R422",204
"C840S14R423",233
"C840S14R424",232
"C840S14R425",232
"C840S14R426",204
"C840S14R427",260
"C840S14R428",84
"C840S14R429",114
"C840S14R430",85
"C840S14R431",114
"C840S14R432",145
"C840S14R433",146
"C840S14R434",175
"C840S14R435",114
"C840S14R436",146
"C840S14R437",145
"C840S14R503",174
"C840S14R518",146
"C840S14R536",146
"C840S14R900",84
"C840S14R901",84
"C840S14R902",84
"C840S14R903",113
"C840S14R905",113
"C840S14R907",288
"C840S14R908",83
"C840S14R909",203
"C840S14R918",83
"C840S14R953",113
"C840S17R001",182
"C840S17R002",153
"C840S17R003",183
"C840S17R004",184
"C840S17R005",184
"C840S17R006",184
"C840S17R007",185
"C840S17R008",181
"C840S17R009",182
"C840S17R010",212
"C840S17R011",212
"C840S17R012",213
"C840S17R013",184
"C840S17R014",214
"C840S17R015",211
"C840S17R016",211
"C840S17R017",211
"C840S17R018",240
"C840S17R019",213
"C840S17R020",214
"C840S17R021",242
"C840S17R022",238
"C840S17R023",239
"C840S17R024",239
"C840S17R025",240
"C840S17R026",241
"C840S17R027",242
"C840S17R028",242
"C840S17R031",182
"C840S17R032",182
"C840S17R033",183
"C840S17R034",183
"C840S17R035",184
"C840S17R036",185
"C840S17R037",185
"C840S17R038",210
"C840S17R039",182
"C840S17R040",212
"C840S17R041",212
"C840S17R042",184
