"route_uniq","fips","lat","lon","type"
"C840S02R214","01025",31.52416542,-87.49405633,"centroid"
"C840S02R214","01099",31.52416542,-87.49405633,"centroid"
"C840S02R215","01041",31.87931226,-86.45012184,"centroid"
"C840S02R215","01013",31.87931226,-86.45012184,"centroid"
"C840S02R216","01067",31.60704185,-85.19543981,"centroid"
"C840S02R216","01005",31.60704185,-85.19543981,"centroid"
"C840S02R217","01097",30.53596471,-88.3008157,"centroid"
"C840S02R218","01003",30.6764503,-87.63421781,"centroid"
"C840S02R306","01127",33.91546464,-87.23745331,"centroid"
"C840S02R750","01089",34.54949416,-86.60996277,"centroid"
"C840S02R750","01095",34.54949416,-86.60996277,"centroid"
"C840S02R750","01103",34.54949416,-86.60996277,"centroid"
"C840S02R751","01115",33.68460551,-86.14937991,"centroid"
"C840S02R751","01121",33.68460551,-86.14937991,"centroid"
"C840S02R751","01015",33.68460551,-86.14937991,"centroid"
"C840S02R752","01105",32.70133372,-87.24427051,"centroid"
"C840S02R753","01025",31.46156086,-87.61489994,"centroid"
"C840S02R753","01099",31.46156086,-87.61489994,"centroid"
"C840S02R754","01003",30.81296312,-87.94598486,"centroid"
"C840S02R754","01097",30.81296312,-87.94598486,"centroid"
"C840S02R900","01083",34.95,-87.15,"start"
"C840S02R901","01033",34.664049,-88.089857,"start"
"C840S06R001","04015",36.55918931,-113.39060901,"centroid"
"C840S06R002","04005",36.87391479,-112.09494549,"centroid"
"C840S06R003","04005",36.30666582,-111.4668354,"centroid"
"C840S06R004","04017",36.42536178,-110.40104781,"centroid"
"C840S06R005","04001",36.40550662,-109.30968107,"centroid"
"C840S06R006","04015",35.87738467,-114.19438629,"centroid"
"C840S06R007","04005",35.46182435,-113.21179273,"centroid"
"C840S06R007","04025",35.46182435,-113.21179273,"centroid"
"C840S06R008","04005",35.60106737,-112.89741684,"centroid"
"C840S06R009","04005",35.41095774,-111.68734065,"centroid"
"C840S06R010","04005",35.71604711,-110.71476585,"centroid"
"C840S06R010","04017",35.71604711,-110.71476585,"centroid"
"C840S06R011","04001",35.8473981,-109.18637733,"centroid"
"C840S06R012","04015",34.90138403,-114.44380831,"centroid"
"C840S06R013","04015",34.5912525,-113.79701734,"centroid"
"C840S06R014","04025",34.50335569,-112.44692723,"centroid"
"C840S06R015","04005",34.87062717,-111.33229643,"centroid"
"C840S06R016","04017",34.52838935,-110.44536797,"centroid"
"C840S06R017","04001",34.55554066,-109.74214872,"centroid"
"C840S06R017","04017",34.55554066,-109.74214872,"centroid"
"C840S06R018","04012",33.54621908,-114.12678214,"centroid"
"C840S06R019","04012",33.7574578,-113.80732094,"centroid"
"C840S06R020","04013",33.84669132,-112.18801448,"centroid"
"C840S06R021","04021",33.07522788,-111.30900547,"centroid"
"C840S06R022","04007",33.76690117,-110.96235708,"centroid"
"C840S06R023","04011",33.69472248,-109.20415597,"centroid"
"C840S06R024","04027",32.74474372,-114.29992177,"centroid"
"C840S06R025","04027",32.84567567,-113.73637226,"centroid"
"C840S06R026","04013",32.47082757,-112.85588052,"centroid"
"C840S06R026","04019",32.47082757,-112.85588052,"centroid"
"C840S06R027","04021",32.95485307,-111.52420052,"centroid"
"C840S06R028","04003",32.19538991,-110.32579624,"centroid"
"C840S06R029","04003",32.39476848,-109.24180591,"centroid"
"C840S06R029","04009",32.39476848,-109.24180591,"centroid"
"C840S06R030","04019",31.93656639,-112.92057718,"centroid"
"C840S06R031","04019",31.45738208,-111.20817035,"centroid"
"C840S06R031","04023",31.45738208,-111.20817035,"centroid"
"C840S06R032","04023",31.49220735,-110.65909583,"centroid"
"C840S06R033","04003",31.77382289,-109.53235992,"centroid"
"C840S06R051","04015",36.40301222,-113.05116304,"centroid"
"C840S06R052","04005",36.38914319,-112.13943787,"centroid"
"C840S06R053","04005",36.76899079,-111.44281364,"centroid"
"C840S06R054","04005",36.53935152,-110.82677656,"centroid"
"C840S06R054","04017",36.53935152,-110.82677656,"centroid"
"C840S06R055","04001",36.37441949,-109.75269412,"centroid"
"C840S06R056","04015",35.06264505,-114.40728655,"centroid"
"C840S06R057","04015",35.52377778,-113.85920776,"centroid"
"C840S06R058","04005",35.20153977,-112.2061619,"centroid"
"C840S06R059","04005",35.33043963,-111.94582492,"centroid"
"C840S06R060","04017",35.42939642,-110.36588372,"centroid"
"C840S06R061","04001",35.65637804,-109.71904304,"centroid"
"C840S06R061","04017",35.65637804,-109.71904304,"centroid"
"C840S06R063","04012",34.14145562,-113.5407485,"centroid"
"C840S06R064","04025",34.60756984,-112.65816894,"centroid"
"C840S06R065","04007",34.35547618,-111.25388758,"centroid"
"C840S06R066","04005",34.47847497,-110.77833607,"centroid"
"C840S06R066","04017",34.47847497,-110.77833607,"centroid"
"C840S06R067","04001",34.21563883,-109.79998567,"centroid"
"C840S06R067","04017",34.21563883,-109.79998567,"centroid"
"C840S06R068","04012",33.38020289,-114.59632528,"centroid"
"C840S06R069","04013",33.24159334,-113.129576,"centroid"
"C840S06R070","04013",33.29462135,-112.79784406,"centroid"
"C840S06R071","04013",33.88107695,-111.7692377,"centroid"
"C840S06R072","04007",33.28866303,-110.5776094,"centroid"
"C840S06R073","04001",33.87046584,-109.33264884,"centroid"
"C840S06R074","04027",32.69190967,-114.54717824,"centroid"
"C840S06R076","04019",32.07650536,-112.38347903,"centroid"
"C840S06R077","04019",32.47396323,-111.47779535,"centroid"
"C840S06R077","04021",32.47396323,-111.47779535,"centroid"
"C840S06R078","04019",32.40382147,-110.51813499,"centroid"
"C840S06R078","04021",32.40382147,-110.51813499,"centroid"
"C840S06R079","04009",32.66840843,-109.87983781,"centroid"
"C840S06R080","04019",32.33627354,-112.98767698,"centroid"
"C840S06R081","04019",31.65633858,-111.24384154,"centroid"
"C840S06R081","04023",31.65633858,-111.24384154,"centroid"
"C840S06R082","04019",31.8408834,-110.84265594,"centroid"
"C840S06R083","04003",31.59899809,-109.66329273,"centroid"
"C840S06R101","04015",36.77809546,-113.24181724,"centroid"
"C840S06R103","04005",36.49978734,-111.22061343,"centroid"
"C840S06R105","04001",36.39480203,-109.11430608,"centroid"
"C840S06R106","04015",35.90904476,-114.53689548,"centroid"
"C840S06R107","04015",35.47768682,-113.54449306,"centroid"
"C840S06R108","04025",35.30007575,-112.78464655,"centroid"
"C840S06R115","04005",34.68385249,-111.37967943,"centroid"
"C840S06R116","04017",34.48257701,-110.33239169,"centroid"
"C840S06R119","04012",33.72503134,-113.79360436,"centroid"
"C840S06R121","04021",33.04092185,-111.27705046,"centroid"
"C840S06R122","04007",33.71057045,-110.96227953,"centroid"
"C840S06R123","04011",33.69163945,-109.20645447,"centroid"
"C840S06R126","04019",32.335076,-112.78768603,"centroid"
"C840S06R127","04021",32.95435922,-111.50567341,"centroid"
"C840S06R130","04019",31.94523951,-112.91841909,"centroid"
"C840S06R133","04003",31.91627943,-109.21256705,"centroid"
"C840S06R161","04001",35.51823204,-109.58421959,"centroid"
"C840S06R161","04017",35.51823204,-109.58421959,"centroid"
"C840S06R170","04013",33.3339864,-112.677217,"start"
"C840S06R172","04009",33.178809,-110.215069,"start"
"C840S06R176","04019",32.20756527,-112.95458334,"centroid"
"C840S06R177","04021",32.57312,-111.329123,"start"
"C840S06R206","04015",35.9176119,-114.52578794,"centroid"
"C840S06R219","04012",33.9225847,-113.82479,"start"
"C840S06R233","04003",31.75871,-109.73797,"start"
"C840S06R900","04003",31.88591268,-109.97584879,"centroid"
"C840S06R901","04003",31.70139351,-109.31200204,"centroid"
"C840S07R001","05003",33.19688132,-91.95506479,"centroid"
"C840S07R002","05003",33.07892147,-91.40654768,"centroid"
"C840S07R002","05017",33.07892147,-91.40654768,"centroid"
"C840S07R003","05039",33.93959938,-92.72946562,"centroid"
"C840S07R004","05013",33.53192454,-92.58129975,"centroid"
"C840S07R005","05073",33.24960513,-93.50133208,"centroid"
"C840S07R006","05057",33.65636624,-93.7350178,"centroid"
"C840S07R007","05081",33.68080874,-94.25904798,"centroid"
"C840S07R008","05077",34.84566054,-90.53351728,"centroid"
"C840S07R008","05123",34.84566054,-90.53351728,"centroid"
"C840S07R009","05085",34.6448117,-91.54299492,"centroid"
"C840S07R009","05117",34.6448117,-91.54299492,"centroid"
"C840S07R010","05041",33.97304632,-91.35196852,"centroid"
"C840S07R010","05079",33.97304632,-91.35196852,"centroid"
"C840S07R011","05125",34.54385307,-92.71657969,"centroid"
"C840S07R012","05053",34.28527291,-92.50040388,"centroid"
"C840S07R013","05019",34.16522206,-93.29268477,"centroid"
"C840S07R014","05051",34.60574003,-93.1036937,"centroid"
"C840S07R015","05149",34.96870903,-93.86866667,"centroid"
"C840S07R015","05127",34.96870903,-93.86866667,"centroid"
"C840S07R016","05111",35.5877491,-90.79004697,"centroid"
"C840S07R017","05093",35.53317416,-90.13561777,"centroid"
"C840S07R017","05111",35.53317416,-90.13561777,"centroid"
"C840S07R018","05067",35.42908784,-91.26984312,"centroid"
"C840S07R018","05147",35.42908784,-91.26984312,"centroid"
"C840S07R019","05075",35.82406583,-91.34938794,"centroid"
"C840S07R019","05063",35.82406583,-91.34938794,"centroid"
"C840S07R020","05029",35.5529331,-92.66334872,"centroid"
"C840S07R020","05141",35.5529331,-92.66334872,"centroid"
"C840S07R021","05023",35.5147124,-92.3064959,"centroid"
"C840S07R021","05141",35.5147124,-92.3064959,"centroid"
"C840S07R022","05071",35.45743967,-93.50092669,"centroid"
"C840S07R023","05101",35.86535086,-93.0762505,"centroid"
"C840S07R024","05131",35.44637719,-94.3835458,"centroid"
"C840S07R024","05033",35.44637719,-94.3835458,"centroid"
"C840S07R025","05021",36.38620669,-90.78605526,"centroid"
"C840S07R025","05121",36.38620669,-90.78605526,"centroid"
"C840S07R026","05065",35.98394056,-91.74808147,"centroid"
"C840S07R026","05063",35.98394056,-91.74808147,"centroid"
"C840S07R027","05049",36.28849779,-92.1208181,"centroid"
"C840S07R027","05065",36.28849779,-92.1208181,"centroid"
"C840S07R027","05005",36.28849779,-92.1208181,"centroid"
"C840S07R028","05101",36.01075869,-93.37792548,"centroid"
"C840S07R029","05007",36.24805416,-94.10440202,"centroid"
"C840S07R029","05143",36.24805416,-94.10440202,"centroid"
"C840S07R030","05007",36.27102573,-94.42975169,"centroid"
"C840S07R031","05009",36.36242307,-93.34830294,"centroid"
"C840S07R031","05015",36.36242307,-93.34830294,"centroid"
"C840S07R032","05089",36.13856335,-92.77943264,"centroid"
"C840S07R032","05129",36.13856335,-92.77943264,"centroid"
"C840S07R033","05121",36.27175713,-91.10107418,"centroid"
"C840S07R034","05055",36.17832907,-90.6674782,"centroid"
"C840S07R035","05093",35.77916598,-90.05274494,"centroid"
"C840S07R036","05037",35.25900312,-90.94846814,"centroid"
"C840S07R036","05123",35.25900312,-90.94846814,"centroid"
"C840S07R037","05067",35.38959171,-91.56476298,"centroid"
"C840S07R037","05145",35.38959171,-91.56476298,"centroid"
"C840S07R038","05129",35.83675083,-92.39815319,"centroid"
"C840S07R038","05137",35.83675083,-92.39815319,"centroid"
"C840S07R038","05141",35.83675083,-92.39815319,"centroid"
"C840S07R039","05149",35.1142819,-93.52869651,"centroid"
"C840S07R040","05113",34.37692245,-94.29351146,"centroid"
"C840S07R041","05097",34.78000201,-93.61483018,"centroid"
"C840S07R041","05149",34.78000201,-93.61483018,"centroid"
"C840S07R042","05085",34.66887374,-92.07468542,"centroid"
"C840S07R042","05119",34.66887374,-92.07468542,"centroid"
"C840S07R043","05001",34.09265695,-91.42459241,"centroid"
"C840S07R043","05069",34.09265695,-91.42459241,"centroid"
"C840S07R045","05133",33.87719851,-94.10500046,"centroid"
"C840S07R046","05073",33.14103729,-93.3777527,"centroid"
"C840S07R046","05027",33.14103729,-93.3777527,"centroid"
"C840S07R047","05103",33.46137459,-92.83900578,"centroid"
"C840S07R048","05041",33.86327958,-91.34253442,"centroid"
"C840S07R049","05033",35.6259127,-94.28860906,"centroid"
"C840S07R102","05003",33.07665609,-91.36851291,"centroid"
"C840S07R102","05017",33.07665609,-91.36851291,"centroid"
"C840S07R103","05039",33.96280417,-92.72593646,"centroid"
"C840S07R109","05085",34.64175948,-91.54522836,"centroid"
"C840S07R109","05117",34.64175948,-91.54522836,"centroid"
"C840S07R111","05125",34.58868671,-92.76414862,"centroid"
"C840S07R112","05053",34.27844967,-92.49810942,"centroid"
"C840S07R114","05051",34.76045756,-93.14478777,"centroid"
"C840S07R114","05105",34.76045756,-93.14478777,"centroid"
"C840S07R117","05093",35.54135649,-90.13576885,"centroid"
"C840S07R118","05067",35.42365976,-91.27137463,"centroid"
"C840S07R118","05147",35.42365976,-91.27137463,"centroid"
"C840S07R900","05115",35.57021468,-93.22393038,"centroid"
"C840S07R900","05071",35.57021468,-93.22393038,"centroid"
"C840S07R901","05149",35.19028636,-93.59281204,"centroid"
"C840S07R901","05083",35.19028636,-93.59281204,"centroid"
"C840S07R902","05047",35.68256259,-93.88943847,"centroid"
"C840S07R903","05013",33.67374292,-92.54866312,"centroid"
"C840S07R904","05077",34.7364157,-90.684515,"start"
"C840S14R001","06093",41.82665737,-123.16623197,"centroid"
"C840S14R002","06105",41.17611083,-122.62407231,"centroid"
"C840S14R002","06093",41.17611083,-122.62407231,"centroid"
"C840S14R003","06035",41.05874095,-121.35180402,"centroid"
"C840S14R003","06089",41.05874095,-121.35180402,"centroid"
"C840S14R004","06015",41.85021223,-124.16059831,"centroid"
"C840S14R005","06023",40.31434305,-124.27356221,"centroid"
"C840S14R006","06023",40.30543488,-123.83575614,"centroid"
"C840S14R007","06089",40.43753261,-122.18163973,"centroid"
"C840S14R007","06103",40.43753261,-122.18163973,"centroid"
"C840S14R008","06089",40.56337752,-121.55511286,"centroid"
"C840S14R009","06035",40.61173623,-120.81548152,"centroid"
"C840S14R010","06045",39.18738965,-123.31208966,"centroid"
"C840S14R011","06033",39.43614425,-122.94878308,"centroid"
"C840S14R011","06045",39.43614425,-122.94878308,"centroid"
"C840S14R012","06101",39.24002901,-121.87789384,"centroid"
"C840S14R012","06011",39.24002901,-121.87789384,"centroid"
"C840S14R013","06061",39.16542234,-120.62971592,"centroid"
"C840S14R014","06045",38.74790408,-123.46280174,"centroid"
"C840S14R014","06097",38.74790408,-123.46280174,"centroid"
"C840S14R015","06011",38.89930841,-122.30527342,"centroid"
"C840S14R015","06113",38.89930841,-122.30527342,"centroid"
"C840S14R015","06033",38.89930841,-122.30527342,"centroid"
"C840S14R016","06095",38.19298657,-121.79219064,"centroid"
"C840S14R017","06009",38.2543451,-120.35656888,"centroid"
"C840S14R018","06003",38.33241104,-119.64331022,"centroid"
"C840S14R018","06051",38.33241104,-119.64331022,"centroid"
"C840S14R018","06109",38.33241104,-119.64331022,"centroid"
"C840S14R019","06081",37.54037838,-122.3576975,"centroid"
