"route_uniq","fips","lat","lon"
"C840S06R115","04005",34.8379964,-111.4382855
"C840S06R116","04017",34.6116178,-110.3781682
"C840S06R119","04012",33.9225847,-113.8247909
"C840S06R121","04021",33.0385437,-111.3789069
"C840S06R122","04007",33.5656117,-110.9464649
"C840S06R123","04011",33.6103817,-109.1063079
"C840S06R126","04019",32.4655,-112.86988
"C840S06R127","04021",32.9583127,-111.3334729
"C840S06R130","04019",31.9571917,-112.7999879
"C840S06R133","04003",31.9825267,-109.2013399
"C840S06R161","04001",35.5413048,-109.3232177
"C840S06R170","04013",33.3339864,-112.677217
"C840S06R172","04009",33.178809,-110.215069
"C840S06R176","04019",32.3559327,-112.8270799
"C840S06R177","04021",32.57312,-111.329123
"C840S06R206","04015",35.8663187,-114.6620259
"C840S06R219","04012",33.9225847,-113.82479
"C840S06R233","04003",31.75871,-109.73797
"C840S06R900","04003",31.9197167,-109.9150009
"C840S06R901","04003",31.6064617,-109.2258228
"C840S07R001","05003",33.3121558,-91.8906744
"C840S07R002","05017",33.1683737,-91.3322519
"C840S07R003","05039",33.9045937,-92.5979989
"C840S07R004","05013",33.5907857,-92.6974039
"C840S07R005","05073",33.3755757,-93.4706879
"C840S07R006","05057",33.6627163,-93.6694105
"C840S07R007","05081",33.6969877,-94.1229479
"C840S07R008","05123",34.9269397,-90.5065699
"C840S07R009","05085",34.7079957,-91.7000729
"C840S07R010","05079",34.0487397,-91.4995419
"C840S07R011","05125",34.6176687,-92.7855459
"C840S07R012","05053",34.3401497,-92.6636599
"C840S07R013","05019",34.0344927,-93.2513959
"C840S07R014","05051",34.6972007,-93.0827549
"C840S07R015","05127",34.9704407,-94.0440279
"C840S07R016","05111",35.4848667,-90.6809479
"C840S07R017","05111",35.5182337,-90.2869869
"C840S07R018","05147",35.3146747,-91.3577789
"C840S07R019","05075",35.9114603,-91.3426352
"C840S07R020","05141",35.6330837,-92.7182699
"C840S07R021","05023",35.5702167,-92.1956399
"C840S07R022","05071",35.4263985,-93.6640897
"C840S07R023","05101",35.7806777,-93.0696409
"C840S07R024","05131",35.3514159,-94.3318236
"C840S07R025","05121",36.4436877,-90.9236529
"C840S07R026","05065",36.0989147,-91.7354059
"C840S07R027","05049",36.4061087,-92.1148009
"C840S07R028","05101",36.1206137,-93.2802279
"C840S07R029","05007",36.4053037,-94.1100149
"C840S07R030","05007",36.329802,-94.303299
"C840S07R031","05015",36.394077,-93.472462
"C840S07R032","05089",36.210562,-92.751243
"C840S07R033","05121",36.313763,-91.22905
"C840S07R034","05055",36.240019,-90.517158
"C840S07R035","05093",35.901224,-90.000225
"C840S07R036","05037",35.396663,-90.966633
"C840S07R037","05145",35.373736,-91.658032
"C840S07R038","05129",35.939336,-92.442323
"C840S07R039","05149",35.075027,-93.68179
"C840S07R040","05113",34.462149,-94.305347
"C840S07R041","05097",34.65949,-93.689266
"C840S07R042","05085",34.559183,-92.001796
"C840S07R043","05069",34.13829,-91.573969
"C840S07R045","05133",33.782848,-94.006856
"C840S07R046","05073",33.026092,-93.493628
"C840S07R047","05103",33.454572,-92.967494
"C840S07R048","05041",33.796907,-91.220963
"C840S07R049","05033",35.615095,-94.344402
"C840S07R102","05017",33.1666667,-91.3166667
"C840S07R103","05039",33.9394687,-92.5894309
"C840S07R109","05085",34.7008083,-91.7077371
"C840S07R111","05125",34.7023815,-92.8007333
"C840S07R112","05053",34.35,-92.633333
"C840S07R114","05105",34.8282537,-93.2368089
"C840S07R117","05093",35.5182227,-90.2867129
"C840S07R118","05147",35.3146835,-91.3577331
"C840S07R900","05071",35.6440029,-93.2948547
"C840S07R901","05149",35.1599347,-93.4248279
"C840S07R902","05047",35.6923427,-93.8210314
"C840S07R903","05013",33.6978337,-92.6142649
"C840S07R904","05077",34.7364157,-90.684515
"C840S14R001","06093",41.8223332,-123.0047055
"C840S14R002","06105",41.1419727,-122.5264669
"C840S14R003","06035",41.1014068,-121.2571315
"C840S14R004","06015",41.6955943,-124.1417935
"C840S14R005","06023",40.2431947,-124.1233439
"C840S14R006","06023",40.4150917,-123.9615249
"C840S14R007","06103",40.3520163,-122.3059647
"C840S14R008","06089",40.4941127,-121.4255289
"C840S14R009","06035",40.5758997,-120.6982799
"C840S14R010","06045",39.2648927,-123.2246019
"C840S14R011","06045",39.5232837,-122.9409709
"C840S14R012","06101",39.2754327,-121.7340849
"C840S14R013","06061",39.1239687,-120.7596199
"C840S14R014","06045",38.8035918,-123.5854569
"C840S14R015","06011",38.9787297,-122.2402499
"C840S14R016","06095",38.0878897,-121.7519384
"C840S14R017","06009",38.3563447,-120.2121659
"C840S14R018","06109",38.3432387,-119.8362579
"C840S14R019","06081",37.6849387,-122.4709619
"C840S14R020","06077",37.9248767,-121.1660539
"C840S14R021","06099",37.5947824,-120.860951
"C840S14R022","06039",37.3670857,-119.6302109
"C840S14R023","06027",37.1720925,-118.0220022
"C840S14R024","06019",36.5471497,-119.8358759
"C840S14R025","06069",36.7623647,-121.1750259
"C840S14R026","06019",36.3127167,-120.3048859
"C840S14R027","06019",36.7712237,-119.4395069
"C840S14R028","06107",36.2677648,-118.9924775
"C840S14R029","06027",36.7126677,-117.5737919
"C840S14R030","06027",36.1558717,-117.8859479
"C840S14R031","06027",36.5381747,-117.2138369
"C840S14R032","06053",35.8086777,-120.5305939
"C840S14R033","06029",35.1800607,-119.1639019
"C840S14R034","06029",35.7335697,-118.0780029
"C840S14R035","06029",35.0877907,-117.9172289
"C840S14R036","06071",35.3017657,-116.9158549
"C840S14R037","06071",35.473722,-115.7029053
"C840S14R038","06083",34.4663227,-120.0690309
"C840S14R039","06111",34.3571317,-119.3142549
"C840S14R040","06029",34.8404587,-118.5635609
"C840S14R041","06071",34.6236297,-117.0048749
"C840S14R042","06111",34.8339497,-119.3320309
"C840S14R043","06071",34.5108617,-115.4898379
"C840S14R044","06071",34.2888977,-114.1414869
"C840S14R045","06037",33.7909207,-118.2918089
"C840S14R046","06065",33.9285177,-117.1214679
"C840S14R047","06073",33.3988807,-116.8011859
"C840S14R048","06025",33.0446677,-115.1445009
"C840S14R049","06025",33.4048617,-114.7292329
"C840S14R050","06073",32.5434577,-117.1190639
"C840S14R051","06073",32.903954,-116.23272
"C840S14R052","06069",36.8242987,-121.2813029
"C840S14R053","06019",36.2251687,-120.5194684
"C840S14R054","06107",36.6315997,-119.3047559
"C840S14R055","06107",36.0801334,-118.8985706
"C840S14R056","06027",36.3180973,-117.6717296
"C840S14R057","06079",35.2565319,-120.8880009
"C840S14R058","06027",37.2267497,-117.7611699
"C840S14R059","06029",35.6076917,-117.800197
"C840S14R060","06071",34.8508216,-117.1469807
"C840S14R061","06071",35.0263717,-116.9615329
"C840S14R062","06071",35.5408027,-115.4289179
"C840S14R063","06027",35.8180322,-117.342044
"C840S14R064","06027",35.8040435,-116.1930811
"C840S14R065","06071",35.1091439,-116.1438409
"C840S14R066","06071",34.3333857,-116.8289569
"C840S14R067","06071",34.7336313,-115.2438758
"C840S14R068","06071",34.9755274,-115.6467441
"C840S14R069","06071",34.0883297,-115.1040949
"C840S14R070","06065",33.4529856,-115.7137562
"C840S14R071","06041",38.0453507,-122.8668979
"C840S14R072","06061",38.8992737,-121.0703359
"C840S14R073","06049",41.6796987,-120.7128219
"C840S14R074","06023",41.2017931,-123.8016231
"C840S14R075","06023",40.5280727,-124.1636509
"C840S14R076","06035",40.7999549,-120.3646258
"C840S14R077","06089",40.8737513,-122.2919583
"C840S14R078","06063",39.7846537,-120.6326679
"C840S14R079","06103",39.9935292,-121.704424
"C840S14R080","06021",39.7633427,-122.2390059
"C840S14R081","06045",39.1612277,-123.5822599
"C840S14R082","06003",38.7754607,-119.8237379
"C840S14R083","06041",37.9851247,-122.5909499
"C840S14R084","06051",37.8002217,-118.5296169
"C840S14R085","06071",34.4584537,-116.9455029
"C840S14R086","06071",34.4912299,-114.4066433
"C840S14R087","06071",34.9,-114.6666667
"C840S14R088","06065",33.6738577,-115.8016279
"C840S14R089","06025",33.2200507,-115.4847789
"C840S14R090","06065",33.6171807,-114.6230009
"C840S14R091","06073",32.9696237,-117.0157469
"C840S14R092","06025",32.8471607,-115.4338989
"C840S14R093","06025",32.8818917,-114.4726339
"C840S14R094","06071",34.9995167,-116.9363639
"C840S14R095","06017",38.5562592,-120.2906994
"C840S14R096","06051",38.1752167,-119.1943049
"C840S14R097","06089",40.5164906,-122.3819302
"C840S14R098","06017",38.7202247,-121.0356899
"C840S14R099","06037",33.3657387,-118.3742829
"C840S14R100","06025",33.378593,-115.693362
"C840S14R103","06037",34.5675322,-118.55729
"C840S14R104","06037",34.2581397,-118.1049598
"C840S14R105","06059",33.6408199,-117.579092
"C840S14R106","06073",33.1990869,-116.7862853
"C840S14R107","06065",33.6681143,-116.6706725
"C840S14R108","06053",36.4530827,-121.6956939
"C840S14R109","06071",35.1743817,-115.4116059
"C840S14R110","06029",35.7786557,-118.5699849
"C840S14R111","06037",34.3863889,-117.69055
"C840S14R112","06037",34.5208799,-117.9406162
"C840S14R113","06071",34.0813937,-116.8928069
"C840S14R114","06083",34.7375727,-120.2354279
"C840S14R116","06027",36.5074727,-118.0989909
"C840S14R117","06107",36.4664267,-118.6547779
"C840S14R118","06111",34.7383427,-119.0450209
"C840S14R119","06065",33.6484217,-117.4101409
"C840S14R120","06073",33.2380367,-117.3928679
"C840S14R121","06073",32.8906327,-116.4718019
"C840S14R122","06073",32.9845324,-116.6771527
"C840S14R123","06079",35.6378262,-120.8547697
"C840S14R124","06027",36.4373087,-116.8511739
"C840S14R125","06029",35.0586291,-119.3492988
"C840S14R126","06065",33.5004607,-116.7989429
"C840S14R127","06019",36.6992615,-119.5118359
"C840S14R128","06029",35.5494581,-118.2071003
"C840S14R129","06037",34.1748887,-117.6766129
"C840S14R130","06071",34.2452557,-117.0639579
"C840S14R131","06065",34.0138414,-116.1626236
"C840S14R132","06019",36.8189424,-118.9088976
"C840S14R133","06037",34.6685951,-118.3953543
"C840S14R134","06083",34.8187907,-119.5569949
"C840S14R135","06083",33.9981167,-119.5768969
"C840S14R136","06083",34.6739607,-119.6685329
"C840S14R137","06073",32.6119997,-116.2002339
"C840S14R138","06079",35.3183817,-120.5084609
"C840S14R139","06027",36.0509851,-116.5004177
"C840S14R140","06079",35.0931687,-119.7298739
"C840S14R141","06107",35.8163067,-118.8450999
"C840S14R142","06111",34.8339402,-119.3299456
"C840S14R145","06029",35.4417537,-119.2871779
"C840S14R147","06029",35.2233697,-118.8782429
"C840S14R148","06021",39.5508277,-122.0649918
"C840S14R149","06047",37.2442817,-120.6701509
"C840S14R150","06025",32.9416587,-115.5356439
"C840S14R151","06049",41.2351468,-120.3368295
"C840S14R152","06067",38.4960307,-121.4588469
"C840S14R153","06017",38.7687607,-120.9253159
"C840S14R154","06051",37.6375765,-118.6550657
"C840S14R155","06099",37.5141365,-121.1597352
"C840S14R156","06043",37.7472667,-119.8035199
"C840S14R157","06005",38.3755147,-120.6668929
"C840S14R158","06091",39.6153759,-120.4258218
"C840S14R159","06007",39.4978958,-121.6093062
"C840S14R160","06045",39.5664857,-123.3982919
"C840S14R161","06103",40.3357087,-121.9157259
"C840S14R162","06035",40.4932903,-120.1080006
"C840S14R163","06089",40.6724857,-122.3224869
"C840S14R164","06105",40.6589377,-123.0337989
"C840S14R165","06049",41.7332787,-120.3753129
"C840S14R166","06093",41.9998861,-121.8916067
"C840S14R167","06023",41.3028427,-123.5376359
"C840S14R168","06093",41.8224004,-122.0111142
"C840S14R169","06093",41.2323207,-122.1355519
"C840S14R170","06051",38.2592757,-119.2218859
"C840S14R171","06019",36.6541134,-120.2610649
"C840S14R172","06013",37.8183531,-122.1464708
"C840S14R173","06053",35.9222607,-121.0644229
"C840S14R174","06093",41.3813232,-123.4877394
"C840S14R175","06093",41.4000979,-122.0499734
"C840S14R176","06049",41.8190067,-121.0692617
"C840S14R177","06049",41.5295757,-120.1718519
"C840S14R178","06023",40.1732694,-123.6037721
"C840S14R179","06103",40.0279597,-122.6387259
"C840S14R180","06103",40.1173377,-121.5755009
"C840S14R181","06063",40.2017613,-120.623502
"C840S14R182","06045",39.6878368,-123.484892
"C840S14R183","06033",39.1844218,-122.7090796
"C840S14R184","06057",39.0686937,-121.0099559
"C840S14R185","06091",39.5602197,-120.8280109
"C840S14R186","06097",38.5498734,-122.719303
"C840S14R187","06113",38.7939347,-121.8400349
"C840S14R188","06017",38.7694117,-120.4473869
"C840S14R189","06085",37.2521703,-121.6774341
"C840S14R190","06009",37.9834939,-120.6452578
"C840S14R191","06039",37.1201217,-119.7013699
"C840S14R192","06027",37.4158007,-118.0043109
"C840S14R193","06097",38.3407717,-123.0480649
"C840S14R194","06087",37.2115267,-122.1565019
"C840S14R195","06053",36.257393,-121.4234494
"C840S14R196","06047",36.8794687,-120.7850119
"C840S14R197","06107",36.0799797,-119.3040849
"C840S14R198","06093",41.7401687,-122.6334149
"C840S14R199","06093",41.2528113,-121.8238479
"C840S14R200","06023",40.9701495,-123.8400894
"C840S14R201","06089",40.8188497,-121.5700369
"C840S14R202","06097",38.3795127,-122.5143889
"C840S14R203","06001",37.6650327,-121.7328649
"C840S14R204","06047",37.1416897,-120.4009629
"C840S14R205","06019",37.2556212,-119.1614638
"C840S14R210","06045",39.1634647,-123.2270969
"C840S14R213","06061",39.0226767,-120.8100579
"C840S14R220","06073",33.3068648,-117.342142
"C840S14R221","06073",32.92408,-116.48047
"C840S14R225","06069",36.7497605,-121.1582986
"C840S14R226","06065",33.5014318,-116.7979649
"C840S14R231","06065",34.0138414,-116.16262
"C840S14R235","06083",34,-119.68333
"C840S14R240","06029",34.971073,-118.148742
"C840S14R245","06029",35.4779437,-119.2962109
"C840S14R252","06069",36.8242987,-121.2813
"C840S14R260","06071",34.836431,-117.16759
"C840S14R267","06023",41.309013,-123.53229
"C840S14R302","06097",38.3796305,-122.5109615
"C840S14R303","06001",37.6649984,-121.7329536
"C840S14R308","06089",40.4976057,-121.4282989
"C840S14R313","06071",34.0809816,-116.8865694
"C840S14R319","06087",37.1650627,-122.2276839
"C840S14R320","06077",37.9333136,-121.1662987
"C840S14R341","06107",35.89089,-118.85004
"C840S14R345","06037",33.7909207,-118.2918
"C840S14R352","06077",38.1231944,-121.525076
"C840S14R357","06005",38.3539344,-120.6797897
"C840S14R366","06071",34.2881427,-116.7674109
"C840S14R401","06015",41.8020549,-124.0540137
"C840S14R402","06023",41.3035057,-123.5321729
"C840S14R403","06105",41.0054247,-122.6175379
"C840S14R404","06089",41.1491686,-122.3173197
"C840S14R405","06049",41.6091794,-121.050248
